
IP Address	Port	Protocol	Country	Anonymity	Latency	Uptime	Alive since
192.111.138.29	4145	Socks4	United States	Elite	715ms	83.6%	4 hours
13.95.173.197	80	HTTP	Netherlands	Elite	73ms	98.9%	8 hours
183.173.205.198	4780	HTTP	China	Elite	6570ms	89.4%	27 minutes
180.235.65.13	80	HTTP	China	Elite	990ms	92.8%	11 hours
120.236.74.213	9002	HTTP	China	Elite	978ms	44.8%	2 hours
182.253.134.117	5678	Socks4	Indonesia	Elite	8172ms	30.6%	9 minutes
129.146.246.226	80	HTTP	United States	Elite	586ms	73.8%	49 minutes
190.60.35.50	8080	HTTP	Venezuela	Anonymous	9027ms	31.3%	7 minutes
183.238.165.170	9002	HTTP	China	Elite	952ms	33.5%	3 hours
192.111.130.2	4145	Socks5	United States	Elite	854ms	72.7%	13 minutes
18.163.25.217	8080	Socks5	United States	Elite	1025ms	94.9%	6 minutes
120.202.128.112	9002	HTTP	China	Elite	1144ms	53.5%	23 minutes
201.71.2.122	999	HTTP	Unkown	Anonymous	5163ms	39.1%	10 minutes
103.127.1.130	80	HTTP	Unkown	Elite	747ms	53.7%	3 hours
200.58.176.13	8080	HTTP	Bolivia	Elite	4331ms	51.7%	2 hours
123.60.175.183	8888	HTTP	Hong Kong	Elite	2099ms	88.8%	1 hour
142.54.226.214	4145	Socks5	United States	Elite	4297ms	90.3%	1 hour
14.140.131.82	3128	HTTP	India	Anonymous	1008ms	70.4%	2 hours
120.234.135.251	9002	HTTP	China	Elite	1984ms	96%	12 hours
124.70.38.229	8080	HTTP	China	Anonymous	1198ms	79.3%	3 hours
184.181.217.206	4145	Socks4	United States	Elite	1836ms	95.8%	1 hour
1.214.62.71	8000	HTTP	Korea	Elite	1198ms	59.5%	9 minutes
124.222.121.5	7890	Socks4	China	Elite	2972ms	36.5%	8 minutes
157.230.34.219	3128	HTTP	United States	Anonymous	689ms	34.1%	26 minutes
60.12.168.114	9002	HTTP	China	Elite	857ms	96%	11 hours
124.79.115.104	9002	HTTP	China	Elite	1001ms	98.3%	8 hours
103.111.118.68	1080	HTTP	Australia	Anonymous	842ms	91.8%	3 hours
202.173.214.75	80	HTTP	Thailand	Anonymous	2824ms	58.9%	9 minutes
140.210.198.96	3128	HTTP	China	Anonymous	968ms	70.8%	14 minutes
206.220.175.2	4145	Socks4	United States	Elite	838ms	90.8%	24 minutes
205.240.77.164	4145	Socks4	United States	Elite	754ms	86.2%	56 minutes
205.240.77.164	4145	Socks5	United States	Elite	1765ms	83.6%	30 minutes
184.178.172.14	4145	Socks4	United States	Elite	786ms	89.4%	2 hours
183.238.32.234	9002	HTTP	China	Elite	946ms	88.5%	1 hour
125.17.80.228	8080	HTTP	India	Elite	1256ms	99.3%	17 minutes
192.252.220.89	4145	Socks5	United States	Elite	5467ms	92.7%	27 minutes
181.188.130.50	4153	Socks4	Bolivia	Elite	1116ms	68.4%	12 minutes
64.225.4.85	9971	HTTP	Canada	Elite	5637ms	33.5%	7 minutes
41.93.71.15	80	HTTP	Tanzania	Anonymous	3863ms	74.6%	2 hours
64.225.4.17	9973	HTTP	Canada	Elite	3110ms	32.6%	20 minutes
64.225.4.85	9965	HTTP	Canada	Elite	7473ms	30.8%	7 minutes
125.106.147.95	8118	HTTP	China	Elite	4067ms	32.5%	9 minutes
192.111.134.10	4145	Socks5	United States	Elite	3035ms	93.3%	2 hours
